SCORPION MAX V1,,,,,,,,,,LCSC BOM Quotation,,,,,,,,,,,,,,,
,,,,,,,,,,BOM Date Created：11/01/26 03:50:32,,,,BOM Export Date: 12/01/26 06:11:32,,,,"The matching result is a real-time query result, availability and prices may fluctuate.  
Backorder items are estimated prices for your reference, please submit ""Create Quote"" to get the real price.
All information is provided ""as is"" and is subject to change without notice.  Any use made of the information provided is without recourse to LCSC and at the user's risk.",,,,,,,
,,,,,,,,,,"EST TOTAL :$156.41
",,,,Website：https://www.lcsc.com/bom,,,,,,,,,,,
Uploaded data,,,,,,,,,,LCSC Matching Results,,,,,,,,,,,,,,,
LCSC#,Mfr.,Mrf#,Description,Package,Value,Customer Part Number,Quantity,Target Price(EUR),Target Lead Time(Business Days),Mrf#,Mfr.,Order Qty.,Unit Price(EUR),Ext.Price(EUR),LCSC#,Package,Min,Mult,SPQ,Availability,Stock Status,Customer Notes,Description,Matched status,Product Link
,,,,,,60,100,,,RC0603FR-071K8L,YAGEO,100,0.0012,0.12,C185354,0603,100,100,5000,177300,In Stock,,100mW 1.8kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C185354.html
,,,,,,61,100,,,RC0603FR-0710KL,YAGEO,100,0.0012,0.12,C98220,0603,100,100,5000,3570900,In Stock,,100mW 10kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C98220.html
,,,,,,54,100,,,RC0603FR-074K7L,YAGEO,100,0.0012,0.12,C99782,0603,100,100,5000,1705600,In Stock,,100mW 4.7kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C99782.html
,,,,,,52,20,,,-(The data has been deleted.),-,-,-,-,-,-,-,-,-,-,-,-,-,-,
,,,,,,53,50,,,RT0603BRE0724K9L,YAGEO,50,0.0184,0.92,C861775,0603,50,50,5000,250,In Stock,,24.9kΩ 100mW 75V Thin Film Resistor ±50ppm/℃ ±0.1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C861775.html
,,,,,,49,100,,,RC0603FR-075K1L,YAGEO,100,0.0013,0.13,C105580,0603,100,100,5000,225400,In Stock,,100mW 5.1kΩ 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C105580.html
,,,,,,18,20,,,A-SP192DGHC-C01-4T,Amicc,20,0.0199,0.40,C19171301,0603,20,20,4000,363940,In Stock,,Green 518nm LED Indication - Discrete 2.4V~3V 0603,Exact Matches,https://www.lcsc.com/product-detail/C19171301.html
,,,,,,20,20,,,A-SP192DB1C-C01-4T,Amicc,20,0.0283,0.57,C5355419,0603,20,20,4000,3180,In Stock,,Blue 470nm LED Indication - Discrete 2.6V~3.2V 0603,Exact Matches,https://www.lcsc.com/product-detail/C5355419.html
,,,,,,21,20,,,A-SP192DG2C-C01-4T,Amicc,20,0.0236,0.47,C5151486,0603,20,20,4000,760,In Stock,,Yellow Green 575nm LED Indication - Discrete 2.3V 0603,Exact Matches,https://www.lcsc.com/product-detail/C5151486.html
,,,,,,16,20,,,A-SP192XR5C-A01-4T,Amicc,20,0.0189,0.38,C19171307,0603,20,20,4000,3740,In Stock,,Red 639nm LED Indication - Discrete 1.7V~2.2V 0603,Exact Matches,https://www.lcsc.com/product-detail/C19171307.html
,,,,,,8,20,,,RVT1J101M1010,ROQANG,20,0.0804,1.61,C72481,"SMD,D10xL10.2mm",5,5,500,51190,In Stock,,100uF ±20% 63V Aluminum Electrolytic Capacitors 2000hrs@105℃,Exact Matches,https://www.lcsc.com/product-detail/C72481.html
,,,,,,56,100,,,RC0603FR-07430RL,YAGEO,100,0.0012,0.12,C137721,0603,100,100,5000,158400,In Stock,,100mW 430Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C137721.html
,,,,,,42,2,,,G2RL-1A-E DC5,OMRON,2,2.7345,5.47,C397259,DIP,1,1,20,15,In Stock,,16A 5V 1 Set Normally Open: 1A (SPST NO) DIP Power Relays RoHS,Exact Matches,https://www.lcsc.com/product-detail/C397259.html
,,,,,,59,100,,,RC0603FR-07536RL,YAGEO,100,0.0013,0.13,C245976,0603,100,100,5000,4600,In Stock,,100mW 536Ω 75V Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,Exact Matches,https://www.lcsc.com/product-detail/C245976.html
,,,,,,110,4,,,INA826AIDRGR,TI,4,2.0966,8.39,C2870890,WSON-8-EP(3x3),1,1,3000,96,In Stock,,WSON-8-EP(3x3) Amplifiers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C2870890.html
,,,,,,73,2,,,STM32H743VIT6,ST,2,6.1268,12.25,C114409,LQFP-100(14x14),1,1,90,4000,In Stock,,ARM Cortex-M7 32 Bit 480MHz 82 LQFP-100(14x14) Microcontrollers RoHS,Exact Matches,https://www.lcsc.com/product-detail/C114409.html
